name,category,price,description,image,image_1,image_2,image_3
Abia,NYSC TOUR,100000,"Abia State, the 'God's Own State', is a vibrant hub of commerce and culture in southeastern Nigeria. Home to Aba, one of West Africa's largest markets, and the peaceful Arochukwu Long Juju shrine, Abia blends entrepreneurial spirit with deep-rooted Igbo heritage. Corps members enjoy rich cultural festivals, bustling trade centers, and warm, industrious communities.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Adamawa,NYSC TOUR,100000,"Adamawa State, the 'Land of Beauty', sits majestically in northeastern Nigeria, crowned by the breathtaking Mandara Mountains and the serene Gashaka Gumti National Park — Nigeria's largest national park. With its stunning highland scenery, diverse ethnic tapestry, and the majestic River Benue, Adamawa offers corps members an unforgettable adventure into Nigeria's wild and cultural heartland.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Akwa Ibom,NYSC TOUR,100000,"Akwa Ibom, the 'Land of Promise', is blessed with pristine Atlantic coastlines, swaying palm trees, and some of Nigeria's finest seafood. Known as Nigeria's oil capital and home to the iconic Ibom Tropicana Entertainment Centre, this southern gem radiates hospitality and cultural richness. Corps members enjoy warm beaches, lively festivals, and the legendary Akwa Ibom cuisine.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Anambra,NYSC TOUR,100000,"Anambra State, the 'Light of the Nation', is a cradle of Igbo civilization and commerce. Home to the ancient Igbo-Ukwu archaeological treasures, the sacred Oguta Lake, and the bustling city of Onitsha with its legendary main market, Anambra pulsates with energy and tradition. Corps members experience a fusion of ancient history, dynamic trade, and warm Igbo community spirit.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Bauchi,NYSC TOUR,100000,"Bauchi State, the 'Pearl of Tourism', is home to the world-renowned Yankari National Park, Nigeria's premier wildlife sanctuary where elephants roam freely and natural warm springs beckon. Rich in Islamic heritage and the colourful Bauchi Palace culture, this northeastern state offers corps members a rare blend of wildlife encounters, ancient emirates, and vibrant northern hospitality.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Bayelsa,NYSC TOUR,100000,"Bayelsa State, the 'Glory of All Lands', is a stunning riverine paradise nestled deep in the Niger Delta, where creeks, mangroves, and waterways create one of Africa's most unique ecosystems. Birthplace of President Goodluck Jonathan, Bayelsa enchants corps members with its Ijaw cultural festivals, fresh seafood delicacies, and the breathtaking Ox-bow Lake.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Benue,NYSC TOUR,100000,"Benue State, the 'Food Basket of the Nation', stretches along the banks of the mighty River Benue, yielding the most fertile farmlands in Nigeria. Known for its warm and welcoming Tiv and Idoma peoples, vibrant masquerade festivals, and the iconic Aliade Festival, Benue offers corps members lush green landscapes, agricultural abundance, and a deeply enriching cultural immersion.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Borno,NYSC TOUR,100000,"Borno State, 'Home of Peace', is the cradle of the ancient Kanem-Bornu Empire, one of Africa's oldest and most powerful civilizations. Lake Chad, the Shehu of Borno's magnificent palace, and the archaeological wonders of the ancient city speak volumes of timeless majesty. Corps members uncover a land steeped in over a thousand years of Islamic scholarship, ancient trade routes, and royal heritage.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Cross River,NYSC TOUR,100000,"Cross River State, 'The People's Paradise', is Nigeria's tourism capital, hosting Africa's biggest street party — the Calabar Carnival. With the lush Cross River National Park, ancient Obudu Mountain Resort, and centuries-old Calabar as Nigeria's first capital, this southern jewel overwhelms corps members with carnival energy, pristine rainforests, rare wildlife, and breathtaking mountain scenery.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Delta,NYSC TOUR,100000,"Delta State, 'The Big Heart', sits where the Niger Delta meets the Atlantic, weaving together rivers, creeks, and one of the richest oil-producing landscapes in Africa. Home to the historic Benin Kingdom relics, the ancient Itsekiri chieftaincy traditions, and the vibrant Warri city life, Delta State captivates corps members with its diverse cultures, festive waterfronts, and extraordinary Niger Delta cuisine.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Ebonyi,NYSC TOUR,100000,"Ebonyi State, 'The Salt of the Nation', is a land of hidden wonders rising from southeastern Nigeria. Famous for its salt lakes, lush rice paddies, and the scenic Ndibe Beach on the Cross River, Ebonyi is a state of quiet dignity and incredible potential. Corps members discover rich Igbo traditions, vibrant New Yam festivals, and the extraordinary underground salt springs of Uburu and Okposi.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Edo,NYSC TOUR,100000,"Edo State, 'The Heartbeat of Nigeria', is the ancient seat of the mighty Benin Empire whose bronzes and ivories adorn the world's greatest museums. Walk through the moats of Benin City — among the world's largest earthworks — visit the Oba's palace, and immerse in the thrilling Igue Festival. Corps members encounter living royalty, world-class art, lush forests, and the warm spirit of the Edo people.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Ekiti,NYSC TOUR,100000,"Ekiti State, 'The Fountain of Knowledge', stands tall among the hills of southwestern Nigeria, celebrated for its deeply educated population and vibrant Yoruba traditions. Crowned by the spectacular Ikogosi Warm Springs — where warm and cold springs meet in perfect harmony — and the ancient Fajuyi Park, Ekiti offers corps members a refreshing blend of natural wonders, royal heritage, and the famous Ekimogun cultural pride.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Enugu,NYSC TOUR,100000,"Enugu State, 'The Coal City State', radiates old-world elegance and modern charm from the cool highlands of southeastern Nigeria. Once the colonial capital of Eastern Nigeria, Enugu boasts the magnificent Ngwo Pine Forest, the serene Awhum Waterfall and Monastery, and the bustling Nike Art Gallery. Corps members enjoy a laid-back, intellectually stimulating environment beloved by academics, artists, and adventurers alike.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
FCT,NYSC TOUR,100000,"The Federal Capital Territory, Abuja, is Nigeria's glittering jewel — a masterpiece of city planning set against the dramatic backdrop of Aso Rock. Home to the Nigerian National Mosque, Nigerian National Christian Centre, the serene Millennium Park, and the iconic Zuma Rock, Abuja blends political power with cultural grace. Corps members experience Nigeria's seat of government, world-class infrastructure, and a melting pot of every tribe and culture.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Gombe,NYSC TOUR,100000,"Gombe State, 'The Jewel in the Savannah', rises from the dry savannah of northeastern Nigeria with surprising beauty and warmth. Flanked by the stunning Tangale Hills, the ecological marvel of Kiliman Game Reserve, and the historic Emir's palace, Gombe enchants corps members with Fulani pastoral life, lively markets, and the unsung natural splendor of Nigeria's interior. A discovery tour for the curious and adventurous spirit.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Imo,NYSC TOUR,100000,"Imo State, 'The Eastern Heartland', is where Igbo culture blooms in its fullest splendor. Home to the scenic Oguta Lake, the colourful Owerri nightlife scene, and the landmark Mbari Cultural Centre, Imo blends tradition with vibrant city energy. Corps members are welcomed into a society that prizes education, community, and an irresistible love for celebration and good living.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Jigawa,NYSC TOUR,100000,"Jigawa State, 'The New World', is a land of ancient Hausa traditions, rolling savannah, and timeless Islamic architecture nestled in northwestern Nigeria. With the scenic Hadejia-Nguru Wetlands — a globally significant bird sanctuary — the historic Dutse Rock, and the vibrant Birnin Kudu markets, Jigawa enchants corps members with its serene landscapes, hospitality, and the rhythmic beauty of Hausa folk culture.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Kaduna,NYSC TOUR,100000,"Kaduna State, 'The Centre of Learning', is a proud northern giant where British colonial legacy meets vibrant indigenous culture. Home to the iconic Kaduna River, the spectacular Kajuru Castle perched in ancient rocks, and the Kamuku National Park, Kaduna rewards corps members with diverse ethnic experiences, military history, educational institutions, and one of Nigeria's most cosmopolitan northern cities.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Kano,NYSC TOUR,100000,"Kano State, 'The Centre of Commerce', is one of Africa's oldest and most storied cities, where ancient dye pits have operated for over 500 years and the Emir's Palace stands as a monument to Hausa-Fulani grandeur. Kano's Kurmi Market — the oldest market in sub-Saharan Africa — and the old city walls transport corps members back through centuries of trans-Saharan trade, Islamic scholarship, and royal splendour.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Katsina,NYSC TOUR,100000,"Katsina State, 'Home of Hospitality', is a cradle of Hausa civilization and one of Nigeria's most historically enriched states. The ancient walled city of Katsina, the Emir's Palace, and the Gobarau Minaret — built in the 16th century — speak to centuries of Islamic culture, scholarship, and royal prestige. Corps members discover a state that shaped Nigeria's northern history and whose people are famed for unparalleled warmth and generosity.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Kebbi,NYSC TOUR,100000,"Kebbi State, 'Land of Equity', is Nigeria's rice capital and a northwestern gem rich in Hausa and Fulani heritage. Famous for the electrifying Argungu International Fishing Festival — where thousands wade into the Matan Fada River with bare hands in friendly competition — Kebbi's riverside towns, ancient sultanates, and warm desert hospitality offer corps members a uniquely authentic window into northern Nigerian rural life.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Kogi,NYSC TOUR,100000,"Kogi State, 'The Confluence State', sits at the majestic meeting point of the Niger and Benue rivers — two of Africa's mightiest waterways. Home to the ancient Igala and Ebira kingdoms, the historic Lokoja as Nigeria's first colonial capital, and the spectacular Mount Patti viewpoint, Kogi enchants corps members with sweeping river vistas, royal courts, diverse cultures, and timeless historical landmarks.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Kwara,NYSC TOUR,100000,"Kwara State, 'The State of Harmony', bridges the gap between Nigeria's north and south with effortless grace. Home to the ancient Nupe and Yoruba kingdoms, the breathtaking Owu Waterfalls — Nigeria's tallest waterfall — and the serene Pategi resort along the River Niger, Kwara welcomes corps members into a land of diverse cultures, historic emirates, and lush river plains.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Lagos,NYSC TOUR,100000,"Lagos State, 'Centre of Excellence', is Africa's most dynamic megacity — a pulsating wonderland of commerce, culture, and creativity perched on the Atlantic coast. From the iconic Victoria Island and Lekki Conservation Centre to the buzzing Balogun Market and legendary Lagos nightlife, corps members are swept into a city that never sleeps. Experience Afrobeats, Nollywood energy, world-class cuisine, and the unstoppable Lagos hustle.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Nasarawa,NYSC TOUR,100000,"Nasarawa State, 'Home of Solid Minerals', is a central Nigerian treasure trove hidden in plain sight. With vast mineral deposits, the scenic Farin Ruwa Waterfall, Doma Lake, and diverse ethnic communities including the Eggon, Alago, and Mada peoples, Nasarawa offers corps members a raw and authentic Nigerian experience. Explore rolling hills, riverside adventures, and the warm communal spirit of Nigeria's mineral heartland.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Niger,NYSC TOUR,100000,"Niger State, 'The Power State', is Nigeria's largest state by landmass — a sprawling canvas of forests, rivers, and spectacular dam infrastructure. Home to the mighty Kainji Dam and its vast reservoir, the Zugurma Game Reserve, and the ancient Nupe kingdom of Bida with its legendary brass and glass crafts, Niger State stirs corps members with grand natural vistas, hydroelectric power, and timeless Nupe artisanship.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Ogun,NYSC TOUR,100000,"Ogun State, 'Gateway State', is a southwestern powerhouse steeped in Yoruba history and industrial excellence. Birthplace of literary Nobel laureate Wole Soyinka, home to the ancient Olumo Rock in Abeokuta, and the gateway to Lagos, Ogun blends industrial might with cultural pride. Corps members explore ancient carved rock formations, historic slave routes, the Ijebu Ode kingdom, and vibrant Yoruba traditions.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Ondo,NYSC TOUR,100000,"Ondo State, 'The Sunshine State', radiates natural bounty along Nigeria's southwestern coast. Home to the spectacular Idanre Hills — a UNESCO-nominated heritage site of ancient Yoruba settlement — lush cocoa plantations, and pristine beach corridors, Ondo captivates nature lovers and culture enthusiasts. Corps members bask in dramatic hilltop views, royal Yoruba heritage, and an atmosphere of enduring sunshine and warm community bonds.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Osun,NYSC TOUR,100000,"Osun State, 'The State of the Living Spring', is a spiritual and cultural sanctuary in southwestern Nigeria, where the sacred Osun-Osogbo Grove — a UNESCO World Heritage Site — draws pilgrims and tourists worldwide. With the ancient Ile-Ife as the spiritual homeland of the Yoruba people and vibrant contemporary art in Osogbo, corps members experience a profound journey through Yoruba mythology, sacred groves, and living tradition.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Oyo,NYSC TOUR,100000,"Oyo State, 'Pace Setter State', is the heartland of the ancient Oyo Empire, one of the greatest empires in West African history. Ibadan, its capital, hosts Nigeria's oldest university and the lush University of Ibadan Botanical Garden. From the historic Mapo Hall to the Old Oyo National Park, corps members discover an empire's legacy, vibrant street food culture, jazz festivals, and the proudly progressive Yoruba spirit.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Plateau,NYSC TOUR,100000,"Plateau State, 'Home of Peace and Tourism', sits on a magnificent highland plateau offering some of Nigeria's most breathtaking scenery. With the cool Jos Plateau, the Jos Wildlife Park, the spectacular Shere Hills, and the enchanting Assop Waterfalls, this central state offers corps members a refreshing escape to cooler temperatures, stunning rock formations, diverse wildlife, and the legendary warmth of the Berom and Angas peoples.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Rivers,NYSC TOUR,100000,"Rivers State, 'The Treasure Base of the Nation', is Nigeria's oil and cultural jewel, where the creeks and mangroves of the Niger Delta meet the energy and sophistication of Port Harcourt — the 'Garden City'. Home to vibrant waterfront dining, the Isaac Boro Garden Park, and the sparkling city nightlife, Rivers State enchants corps members with its Ikwerre, Ogoni, and Kalabari cultural richness, fresh seafood, and electrifying city life.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Sokoto,NYSC TOUR,100000,"Sokoto State, 'The Seat of the Caliphate', is the spiritual capital of Nigerian Islam and home to the revered Sultan of Sokoto — the highest Islamic authority in Nigeria. The Sokoto Caliphate, founded in 1804 by Usman dan Fodio, shaped the cultural and political landscape of northern Nigeria. Corps members immerse in ancient mosques, the Hubbare Mausoleum, Waziri Junaidu Historical Museum, and the legendary northern hospitality of the Fulani and Hausa peoples.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Taraba,NYSC TOUR,100000,"Taraba State, 'Nature's Gift to the Nation', is one of Nigeria's most ecologically diverse states, boasting the vast Gashaka Gumti National Park — home to chimpanzees, lions, and rare bird species. With the majestic Mambilla Plateau — Nigeria's rooftop — lush tea plantations, and the scenic Donga River, Taraba captivates corps members with extraordinary wildlife, cool highland climates, and the rich cultural heritage of over 80 ethnic groups.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Yobe,NYSC TOUR,100000,"Yobe State, 'The Pride of the Sahel', stretches across northeastern Nigeria's arid Sahel zone where sandy plains meet ancient trade routes and Islamic scholarship. The Yobe River wetlands, the historic Potiskum market, and the expansive desert landscape tell a story of resilience, faith, and commerce. Corps members experience the quiet dignity of Yobe's people, stunning desert sunsets, and the proud cultural legacy of the Kanuri and Fulani communities.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
Zamfara,NYSC TOUR,100000,"Zamfara State, 'Farming is Our Pride', is a northwestern Nigerian state of deep Islamic tradition and proud agricultural heritage. Home to the ancient Zamfara Emirate, the historic Gusau city, and expansive gold deposits that place it among Africa's richest mineral states, Zamfara enchants corps members with its Hausa-Fulani culture, traditional polo festivals, ancient mosques, and the authentic rural Nigeria that lives far from city lights.",https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300,https://picsum.photos/id/1/300/300
